Location,Price,Bedrooms,Bathrooms,Parking,Floor Size,Erf Size,Description
CampsBay,14890000,4,4.5,2,507,,"            Luxuriously and stylishly appointed, excellently located in prime Glen location a short ...        "
Gardens,2350000,1,1,1,67,,            Superbly appointed 1 bedroom apartment. Set in beautifully maintained security complex ...        
ClaremontUpper,1150000,0.5,1,1,33,,            This cozy studio apartment is located on the 2nd floor at The Beaumont.Open plan ...        
MouillePoint,2100000,1,1,1,32,,            Paramount Investment Opportunity on the Beach FrontThis extremely well-maintained ...        
Constantia,13595000,3,3,2,,814,            Price includes VAT (no transfer duty)Luxury living in a Contemporary Estate in Upper ...        
DiepRiver,2450000,3,2.5,3,,703,"            Situated in a quiet, leafy pocket of Diep River surrounded by mountain views,  this ...        "
Oranjezicht,11900000,4,5,2,,501,"            An opportunity to acquire a residence of timeless elegance, a home that portrays all the ...        "
Muizenberg,1375000,3,2,1,,201,"            Lovely 3 Bedroom House in Soralia Village! To appreciate this lovely, impeccably ...        "
Plumstead,1925000,3,2,2,,284,"            Exclusive Mandate | This immaculate three-bedroomed, two-bathroomed home is located in ...        "
Claremont,3495000,3,2,3,,516,"            Situated on 516sqm, this wonderful family home offers an open plan lounge and dining ...        "
GreenPoint,7995000,3,3,2,193,,"            A sensational, albeit classic penthouse-like apartment in sought-after Springbok Road ...        "
Rondebosch,1295000,1,1,1,46,,            Secure bachelor apartment at popular Rondebosch Oaks - ideal for a UCT student or young ...        
Constantia,12750000,3,3,2,,448,"            Come Home To NatureIf established mature trees, bird song and sunshine are meaningful ...        "
SeaPoint,5800000,3,2,2,139,,            Stunning Views of Lions Head and Robben Island - Located high up in Fresnaye in a sought ...        
Claremont,3795000,3,2,,,443,"            Don't miss out on the opportunity to own a 3 bedroom, 2 bathroom family home in ...        "
CapeTownCityCentre,1360000,,1,1,30,,            Immaculately renovated studio apartment up for grabs in sought after Four SeasonsOpen ...        
GreenPoint,3400000,1,1,1,61,,"            Situated in the heart of Green Point, this large luxury 1 bedroom apartment, offers you ...        "
Gardens,1150000,0.5,1,,26,,"            Located on trendy Kloof Street in the sought after suburb of Gardens, this well laid out ...        "
CapeTownCityCentre,1850000,2,2,1,60,,"            Located in a sought-after block on the tenth floor, this impeccably maintained ...        "
Claremont,1395000,2,1,2,82,,            Large 82m2 apartment situated on the first floor in small secure complex of only 12 units!Spacious tiled living with great flow to ...        
SeaPoint,1980000,1,1,,58,,            Upmarket & freshly renovated one bedroomed home in one of Sea Points proudest ...        
ClaremontUpper,4250000,3,2.5,2,156,,            An impeccable duplex nestled within the Claremont Upper area. This modern/chic styled ...        
DiepRiver,1395000,2,1.5,2,78,,            Ready to be called YOURS!!This two bedroom townhouse situated off the Main Road is to ...        
KenilworthUpper,2795000,3,2,1,128,,            Beautiful Art Deco character building offers apartments the generosity of space.  This ...        
RondeboschEast,3750000,6,5,4,,495,            Large family living at its best off the Avenues! This Beautifully renovated home for ...        
Belhar,765000,2,1,6,55,,            Exclusive Sole Mandate: This ground floor unit is perfect for those seeking security in ...        
CapeTownCityCentre,1995000,1,1,1,35,,            Perfect for business traveller or as an investment.  Epitome of lock-up-and-go luxury ...        
Vredehoek,3350000,2,2,2,78,,            Exclusive Mandate | Chic City Apartment with Tranquil Outdoor Space!Your new way of ...        
Woodstock,2495000,3,2,,,187,            This Upper Woodstock house has been beautifully renovated. The owners have managed to ...        
WynbergUpper,2900000,4,4.5,2,176,,"            This larger than average apartment, situated in a sought-after block in Wynberg Upper ...        "
Gardens,1675000,0.5,1,,40,,            Perfect for renting out on Airbnb. Recently renovated! Close to trendy restaurants and ...        
CampsBay,11250000,4,2.5,2,,744,"            Located in tree lined cul-de-sac close to the Little Glen, this white-shuttered, secure ...        "
KenilworthUpper,3400000,3,2,2,143,,"            Sole mandatePalm Grove, situated in Kenilworth Upper,  Cape Town. See the video for a ...        "
Woodstock,4295000,6,4,2,,478,            Every corner of the property is built and maintained with perfection in mind. Immaculate ...        
Claremont,1699000,2,1,2,,130,"            Perfect for those seeking easy living in a convenient location, with all amenities ...        "
Plumstead,795000,1,1,1,52,,"            This spacious One Bedroom is situated in a quiet and secure complex.Its neat, Well ...        "
Woodstock,19950000,,,,1000,,"            This prime site, located in the heart of Woodstock, comprises of three buildings all ...        "
Gardens,7195000,3,3,1,,363,            A sense of style and tranquillity emanates from this immaculately newly renovated home. ...        
SeaPoint,6899000,2,2,2,190,,            Sensational masterpiece with massive outdoor entertainment space. Comprising : 2 ...        
Newlands,9900000,4,3,6,,1004,"            24 Finsbury Avenue, Ever-popular Hiddingh, NewlandsSet on just over 1000 sqm this much ...        "
Newlands,7450000,4,4,4,,1202,"            Located in central and leafy Newlands lies this four bedroom family home with an abundance of potential. Positioned in Newlands, new ...        "
Gardens,1850000,1,1,1,72,,            REMARKABLE INVESTMENT OPPORTUNITYSituated on the cusp of the city with magnificent ...        
Ottery,9500000,,,,645,,            Retail and Residential Property for Sale! Ottery Cape Town.Exclusive Sole Mandate. ...        
